interaction_id,user_id,product_id,action,timestamp
1,1958,,purchase,
2,1798,44,purchase,2023-07-31 20:47:07
3,1986,348,click,2023-05-24 19:06:32
4,1841,,purchase,2023-10-05 11:41:42
5,1311,,click,2023-09-07 07:43:52
6,1864,137,purchase,2023-02-11 05:32:52
7,1818,,,2023-05-18 13:24:00
8,1281,238,purchase,2023-12-13 09:19:16
9,1827,132,,2023-05-23 03:27:22
10,1129,121,,2023-11-08 12:43:48
11,1684,,purchase,2023-02-28 08:56:53
12,1526,149,,
13,1753,,click,2023-05-23 03:10:36
14,1788,185,view,2023-01-10 03:12:48
15,1223,,,2023-09-28 06:20:45
16,1621,,,2023-05-24 12:56:02
17,1210,,purchase,2023-05-10 23:17:17
18,1990,171,click,2023-08-15 22:08:42
19,1441,,purchase,2023-09-13 20:43:37
20,1110,,click,2023-11-01 07:37:11
21,1291,,,2023-05-31 18:51:12
22,1524,350,view,2023-09-18 05:09:37
23,1810,,click,2023-12-04 04:38:26
24,1932,350,click,2023-04-10 14:18:52
25,1196,364,purchase,2023-01-04 22:55:47
26,1908,153,click,2023-12-29 07:35:49
27,1299,,,2023-03-03 04:25:11
28,1890,112,click,2023-06-01 06:43:38
29,1069,,view,2023-04-22 11:21:18
30,1902,,,2023-01-26 14:09:22
31,1816,262,purchase,
32,1317,,click,
33,1902,34,,
34,1573,,view,2023-09-06 18:15:26
35,1153,261,,2023-01-13 10:04:26
36,1366,35,view,2023-08-20 08:15:27
37,1670,,purchase,2023-04-10 22:18:34
38,1276,290,,2023-12-19 17:02:54
39,1778,314,purchase,2023-03-23 17:57:13
40,1202,,purchase,2023-12-19 12:14:50
41,1393,,purchase,2023-03-05 14:45:20
42,1767,201,purchase,2023-08-09 11:40:06
43,1567,8,,2023-04-11 11:52:15
44,1947,293,view,2023-02-23 05:25:10
45,1059,32,click,2023-08-10 08:29:30
46,1216,268,view,2023-05-29 09:12:34
47,1864,,click,
48,1104,333,view,2023-02-11 14:57:19
49,1721,,,2023-03-02 16:56:35
50,1914,,,2023-08-24 19:48:24
51,1421,,,2023-02-06 19:17:11
52,1508,,,2023-05-27 18:53:55
53,1047,145,view,2023-03-26 16:03:22
54,1122,343,purchase,2023-04-02 01:18:56
